file,gameName,stateClass,status,moves,durationMs,error
Sik,Sik,?,START_FAIL,0,70,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Siryu (Race),Siryu (Race),?,START_FAIL,0,93,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Sneakthrough,Sneakthrough,SneakthroughState,OK,90,67,
Spinimax,Spinimax,SpinimaxState,OK,19,92,
Squadro,Squadro,SquadroState,OK,88,138,
Stairs,Stairs,StairsState,OK,31,125,
Tamman,Tamman,?,START_FAIL,0,37,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Tasholiwe,Tasholiwe,?,START_FAIL,0,52,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Thales,Thales,ThalesState,PLAYOUT_FAIL,0,56,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
The Pawn Game,The Pawn Game,ThePawnGameState,OK,30,44,
There and Back,There and Back,ThereAndBackState,OK,54,93,
Tourne-Case,Tourne-Case,?,START_FAIL,0,32,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Tri EinStein Wurfelt Nicht,Tri EinStein Wurfelt Nicht,TriEinSteinWurfeltNichtState,PLAYOUT_FAIL,15,75,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Tsaydithl,Tsaydithl,?,START_FAIL,0,53,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Zohn Ahl,Zohn Ahl,?,START_FAIL,0,87,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Zonesh,Zonesh,ZoneshState,OK,25,53,
Competitive 2048,Competitive 2048,Competitive2048State,OK,84,186,
Diagonals,Diagonals,DiagonalsState,OK,64,60,
Los Escaques,Los Escaques,?,START_FAIL,0,1052,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Momentum,Momentum,MomentumState,OK,21,240,
Pasa,Pasa,?,START_FAIL,0,28,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Splastwo,Splastwo,SplastwoState,PLAYOUT_FAIL,0,352,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Bao Ki Arabu (Zanzibar 1),Bao Ki Arabu (Zanzibar 1),BaoKiArabuZanzibar1State,OK,213,79,
Bao Ki Arabu (Zanzibar 2),Bao Ki Arabu (Zanzibar 2),BaoKiArabuZanzibar2State,OK,128,54,
Bao Kiswahili (DR Congo),Bao Kiswahili (DR Congo),BaoKiswahiliDRCongoState,OK,4304,153,
Bao Kiswahili (East Africa),Bao Kiswahili (East Africa),BaoKiswahiliEastAfricaState,OK,44,2196,
Bao,Bao,BaoState,OK,2,2139,
Chiana wa Bwalo,Chiana wa Bwalo,ChianaWaBwaloState,OK,413,47,
Chiana wa Kunja,Chiana wa Kunja,ChianaWaKunjaState,OK,2500,71,
Chisolo,Chisolo,ChisoloState,OK,7,91,
Choro (Acholi),Choro (Acholi),ChoroAcholiState,OK,3,88,
Choro (Lango),Choro (Lango),ChoroLangoState,OK,9,190,
Dongjintian (Four Players),Dongjintian (Four Players),DongjintianFourPlayersState,PLAYOUT_FAIL,0,80,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Hawalis,Hawalis,HawalisState,OK,326,52,
Hus (Damara),Hus (Damara),HusDamaraState,OK,2698,80,
Hus (Nama),Hus (Nama),HusNamaState,OK,11,82,
Ikibuguzo (Opening 1),Ikibuguzo (Opening 1),IkibuguzoOpening1State,OK,7,59,
Ikibuguzo (Opening 2),Ikibuguzo (Opening 2),IkibuguzoOpening2State,OK,3,62,
Isolo,Isolo,IsoloState,OK,294,272,
Katra Boaoaka,Katra Boaoaka,KatraBoaoakaState,OK,4,69,
Katra,Katra,KatraState,OK,3,60,
Katro Bevohoka,Katro Bevohoka,KatroBevohokaState,OK,197,39,
Kisolo (Lali),Kisolo (Lali),KisoloLaliState,MOVE_LIMIT,5000,108,exceeded 5000 moves
Kisolo,Kisolo,KisoloState,OK,284,81,
Kubuguza,Kubuguza,KubuguzaState,OK,3,82,
Lisolo,Lisolo,LisoloState,OK,2500,104,
Lobudok,Lobudok,LobudokState,OK,531,289,
Makonn,Makonn,MakonnState,OK,548,70,
Mangola,Mangola,MangolaState,OK,18,115,
Mefuvha,Mefuvha,MefuvhaState,OK,149,196,
Misoro Tsoro (Additional Capture),Misoro Tsoro (Additional Capture),MisoroTsoroAdditionalCaptureState,OK,119,47,
Misoro Tsoro,Misoro Tsoro,MisoroTsoroState,OK,100,46,
Moruba,Moruba,MorubaState,OK,196,41,
