file,gameName,stateClass,status,moves,durationMs,error
Unnee Tugalluulax,Unnee Tugalluulax,UnneeTugalluulaxState,OK,214,29,
Uril,Uril,UrilState,OK,106,88,
Uthi,Uthi,UthiState,MOVE_LIMIT,5000,176,exceeded 5000 moves
Vai Lung Thlan,Vai Lung Thlan,VaiLungThlanState,OK,206,31,
Wa'ache Waledat,Wa'ache Waledat,WaAcheWaledatState,OK,12,40,
Walak-Pussa,Walak-Pussa,?,START_FAIL,0,189,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Wari,Wari,WariState,OK,200,18,
Waurie,Waurie,WaurieState,OK,115,27,
Whyo,Whyo,WhyoState,OK,223,73,
Woli,Woli,WoliState,PLAYOUT_FAIL,0,79,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
Wore,Wore,WoreState,OK,60,26,
Wouri,Wouri,WouriState,OK,693,59,
Yovodi,Yovodi,YovodiState,OK,54,31,
Yovodji,Yovodji,YovodjiState,PLAYOUT_FAIL,0,49,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
Yucebao,Yucebao,YucebaoState,OK,3597,107,
4 Squared,4 Squared,G4SquaredState,OK,83,131,
Agapi,Agapi,AgapiState,OK,63,33,
Amazons,Amazons,AmazonsState,OK,136,56,
Bamboo,Bamboo,BambooState,OK,52,81,
Banqi,Banqi,BanqiState,OK,359,82,
Blue Nile,Blue Nile,BlueNileState,OK,19,42,
Claustro,Claustro,ClaustroState,OK,17,42,
Co Chan Cho,Co Chan Cho,CoChanChoState,OK,28,26,
Col,Col,ColState,OK,29,45,
Cram,Cram,CramState,OK,15,36,
Do Guti,Do Guti,DoGutiState,OK,6,18,
Dodo,Dodo,DodoState,OK,65,36,
Domineering,Domineering,DomineeringState,OK,16,22,
Dorvon Cag,Dorvon Cag,DorvonCagState,OK,8,8,
Duidoku,Duidoku,DuidokuState,OK,64,213,
Epoxy,Epoxy,EpoxyState,OK,375,202,
Ex Nihilo,Ex Nihilo,ExNihiloState,PLAYOUT_FAIL,0,1484,NullPointerException: Cannot invoke "java.util.Map.keySet()" because the return value of "other.state.State.mapRememberingValues()" is null
First Attack,First Attack,FirstAttackState,OK,7,43,
Forge,Forge,ForgeState,OK,89,42,
Game of Dwarfs,Game of Dwarfs,GameOfDwarfsState,OK,9,33,
Garrisons,Garrisons,GarrisonsState,PLAYOUT_FAIL,0,601,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Gopher,Gopher,GopherState,OK,46,76,
Gurvan Xudag,Gurvan Xudag,GurvanXudagState,OK,223,24,
Hex Amazons,Hex Amazons,HexAmazonsState,OK,167,105,
Ho-Bag Gonu,Ho-Bag Gonu,HoBagGonuState,OK,46,26,
Isolation,Isolation,IsolationState,OK,56,22,
Janes Soppi (Symmetrical),Janes Soppi (Symmetrical),JanesSoppiSymmetricalState,OK,1469,14,
Jostle,Jostle,JostleState,OK,31,58,
L Game,L Game,LGameState,OK,818,76,
Lewthwaite's Game,Lewthwaite's Game,LewthwaiteSGameState,OK,24,29,
Madelinette,Madelinette,MadelinetteState,OK,121,15,
Migration,Migration,MigrationState,OK,134,28,
Mu Torere,Mu Torere,MuTorereState,OK,17,29,
NoGo,NoGo,NoGoState,OK,74,53,
Orthokon,Orthokon,OrthokonState,OK,753,23,
Oumoul Kono,Oumoul Kono,OumoulKonoState,OK,39,24,
Overflow,Overflow,OverflowState,OK,52,283,
Pathway,Pathway,PathwayState,OK,29,31,
Pentomino,Pentomino,PentominoState,OK,8,88,
Pong Hau K'i,Pong Hau K'i,PongHauKIState,OK,13,8,
Quantum Leap,Quantum Leap,QuantumLeapState,OK,37,68,
Ratio,Ratio,RatioState,OK,18,40,
Root,Root,RootState,OK,30,38,
Roots,Roots,RootsState,OK,61,68,
Shred,Shred,ShredState,OK,144,493,
Shut Off His Lights,Shut Off His Lights,ShutOffHisLightsState,OK,252,32,
Slimetrail,Slimetrail,SlimetrailState,OK,22,87,
Snailtrail,Snailtrail,SnailtrailState,OK,72,33,
Snort,Snort,SnortState,OK,41,55,
Snowpaque,Snowpaque,SnowpaqueState,OK,31,94,
Spots,Spots,SpotsState,OK,14,61,
Susan,Susan,SusanState,OK,67,48,
T'uk T'uk,T'uk T'uk,TUkTUkState,OK,2500,35,
TacTix,TacTix,TacTixState,OK,18,45,
Temeen Tavag,Temeen Tavag,TemeenTavagState,OK,8,25,
Toads and Frogs,Toads and Frogs,ToadsAndFrogsState,OK,5,21,
Tron,Tron,TronState,OK,8,55,
Tugul Shodra,Tugul Shodra,TugulShodraState,OK,23,26,
Un,Un,UnState,OK,15,51,
Wong,Wong,WongState,OK,82,48,
00'Y',00'Y',G00YState,OK,53,82,
Abak,Abak,AbakState,OK,2500,732,
Atoll,Atoll,AtollState,OK,106,110,
Bide,Bide,BideState,PLAYOUT_FAIL,0,506,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Bipartisan Y,Bipartisan Y,BipartisanYState,OK,44,54,
Bipod,Bipod,BipodState,OK,42,87,
Chameleon,Chameleon,ChameleonState,OK,104,92,
Coil,Coil,CoilState,OK,87,102,
ConHex,ConHex,ConHexState,OK,52,152,
Cross,Cross,CrossState,OK,60,59,
Crossway,Crossway,CrosswayState,OK,336,368,
Defector Y,Defector Y,DefectorYState,OK,47,80,
Diagonal Hex,Diagonal Hex,DiagonalHexState,OK,93,85,
DuploHex,DuploHex,DuploHexState,OK,66,50,
Esa Hex,Esa Hex,EsaHexState,OK,118,73,
Fractal,Fractal,FractalState,OK,126,581,
Gale,Gale,GaleState,OK,72,96,
Gonnect,Gonnect,GonnectState,OK,228,140,
Gyre,Gyre,GyreState,OK,120,1750,
Havannah,Havannah,HavannahState,OK,127,126,
Hex,Hex,HexState,OK,108,78,
Madrod,Madrod,MadrodState,PLAYOUT_FAIL,0,325,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Master Y,Master Y,MasterYState,OK,79,62,
Nex,Nex,NexState,OK,213,97,
Onyx,Onyx,OnyxState,OK,165,1318,
Pippinzip (Zipline variant),Pippinzip (Zipline variant),PippinzipZiplineVariantState,OK,79,87,
Pippinzip,Pippinzip,PippinzipState,OK,73,91,
Resolve,Resolve,ResolveState,MOVE_LIMIT,5000,1103,exceeded 5000 moves
Scaffold,Scaffold,ScaffoldState,OK,146,274,
Spaji,Spaji,SpajiState,OK,31,46,
Span,Span,SpanState,OK,18,30,
Spire,Spire,SpireState,OK,27,119,
Sponnect,Sponnect,SponnectState,OK,28,41,
Spought,Spought,SpoughtState,OK,14,63,
Tabu Y,Tabu Y,TabuYState,OK,64,67,
Tara,Tara,TaraState,OK,21,69,
Three-Player Hex,Three-Player Hex,ThreePlayerHexState,OK,28,42,
Trax,Trax,TraxState,OK,6,2421,
Troll,Troll,TrollState,OK,44,66,
Unlur,Unlur,UnlurState,OK,55,109,
Weave,Weave,WeaveState,OK,100,69,
Y (Hex),Y (Hex),YHexState,OK,124,131,
Y,Y,YState,OK,65,66,
Abande,Abande,AbandeState,OK,56,181,
Abrobad,Abrobad,AbrobadState,PLAYOUT_FAIL,0,33,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.propositions()" is null
Adere,Adere,AdereState,OK,45,45,
Bounce,Bounce,BounceState,OK,29,102,
Brain Coral,Brain Coral,BrainCoralState,OK,31,85,
Brood,Brood,BroodState,PLAYOUT_FAIL,0,266,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.add(int)" because the return value of "other.state.State.rememberingValues()" is null
Catchup,Catchup,CatchupState,OK,63,54,
Elea,Elea,EleaState,OK,61,52,
Feed the Ducks,Feed the Ducks,FeedTheDucksState,OK,26,53,
Groups,Groups,GroupsState,OK,2500,54,
Gygoreg,Gygoreg,GygoregState,OK,151,109,
Hermit,Hermit,HermitState,OK,48,91,
Lines of Action,Lines of Action,LinesOfActionState,OK,184,56,
Make Muster,Make Muster,MakeMusterState,OK,105,47,
Manalath,Manalath,ManalathState,OK,55,77,
Manifold,Manifold,ManifoldState,PLAYOUT_FAIL,0,234,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.add(int)" because the return value of "other.state.State.rememberingValues()" is null
Meridians,Meridians,MeridiansState,OK,108,184,
Mono,Mono,MonoState,OK,61,62,
Odd,Odd,OddState,OK,61,52,
Omega,Omega,OmegaState,OK,60,50,
Omny,Omny,OmnyState,OK,109,1751,
Product,Product,ProductState,OK,61,38,
RootZone,RootZone,RootZoneState,OK,39,106,
Sibling,Sibling,SiblingState,OK,58,50,
Signum,Signum,SignumState,OK,91,65,
Spaiji,Spaiji,SpaijiState,OK,30,50,
Spao,Spao,SpaoState,OK,30,34,
Speedo,Speedo,SpeedoState,PLAYOUT_FAIL,1,67,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Spice,Spice,SpiceState,PLAYOUT_FAIL,0,91,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Symple,Symple,SympleState,TIMEOUT,169,10086,exceeded 10000ms
Taiji,Taiji,TaijiState,OK,72,55,
Vigilance,Vigilance,VigilanceState,PLAYOUT_FAIL,3,648,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.toArray()" because the return value of "other.state.State.rememberingValues()" is null
Yoin,Yoin,YoinState,OK,127,84,
3 6 9,3 6 9,G369State,OK,81,71,
3D Tic-Tac-Toe,3D Tic-Tac-Toe,G3DTicTacToeState,OK,9,36,
A Simple Game,A Simple Game,ASimpleGameState,OK,13,31,
Achi,Achi,AchiState,OK,113,29,
Agilidade,Agilidade,AgilidadeState,OK,9,9,
Akidada,Akidada,AkidadaState,OK,20,23,
All Queens Chess,All Queens Chess,AllQueensChessState,OK,56,34,
Alquerque de Tres,Alquerque de Tres,AlquerqueDeTresState,OK,8,13,
Altan Xaraacaj,Altan Xaraacaj,AltanXaraacajState,OK,222,37,
Andantino,Andantino,AndantinoState,OK,31,2284,
Aqrad,Aqrad,AqradState,OK,344,37,
Bolotudu,Bolotudu,BolotuduState,OK,79,34,
Boop,Boop,BoopState,OK,162,63,
Bravalath,Bravalath,BravalathState,OK,3,2420,
Broken Line,Broken Line,BrokenLineState,OK,45,84,
Callanish,Callanish,CallanishState,OK,10,86,
Centrifugal Force,Centrifugal Force,CentrifugalForceState,OK,58,182,
Centripetal Force,Centripetal Force,CentripetalForceState,OK,54,143,
Complica,Complica,ComplicaState,OK,20,21,
Connect Four,Connect Four,ConnectFourState,OK,16,23,
Connect6,Connect6,Connect6State,OK,231,225,
CustAndantino,CustAndantino,CustAndantinoState,OK,54,2268,
Dai Hasami Shogi,Dai Hasami Shogi,DaiHasamiShogiState,OK,138,53,
Dala,Dala,DalaState,OK,81,47,
Dara,Dara,DaraState,OK,130,54,
Dig Dig,Dig Dig,DigDigState,OK,60,35,
Djara-Badakh,Djara-Badakh,DjaraBadakhState,OK,33,24,
Dra,Dra,DraState,OK,166,28,
Driesticken,Driesticken,DriestickenState,OK,17,26,
Dris at-Talata,Dris at-Talata,DrisAtTalataState,OK,21,19,
Engijn Zirge,Engijn Zirge,EngijnZirgeState,OK,23,10,
Epelle,Epelle,EpelleState,OK,8,17,
Fanorona Telo,Fanorona Telo,FanoronaTeloState,OK,16,23,
Fart (5x5),Fart (5x5),Fart5x5State,OK,57,41,
Fart (7x7),Fart (7x7),Fart7x7State,OK,205,42,
Fettas,Fettas,FettasState,OK,109,16,
Fivalath,Fivalath,FivalathState,OK,37,46,
Five Men's Morris,Five Men's Morris,FiveMenSMorrisState,OK,141,28,
Gekitai,Gekitai,GekitaiState,OK,22,60,
Gobblet Gobblers,Gobblet Gobblers,GobbletGobblersState,OK,13,28,
Gomoku,Gomoku,GomokuState,OK,129,117,
Gurgaldaj,Gurgaldaj,GurgaldajState,OK,79,26,
Jeson Zam,Jeson Zam,JesonZamState,OK,85,44,
Kassle,Kassle,KassleState,OK,51,73,
Katsela,Katsela,KatselaState,OK,12,31,
Keryo-Pente,Keryo-Pente,KeryoPenteState,OK,136,390,
Ketatu,Ketatu,KetatuState,OK,51,62,
La Chascona,La Chascona,LaChasconaState,OK,87,33,
Les Pendus,Les Pendus,LesPendusState,OK,25,23,
Liu Tsi,Liu Tsi,LiuTsiState,OK,14,24,
Marelle Quadruple,Marelle Quadruple,MarelleQuadrupleState,OK,2500,36,
Marelle Triple,Marelle Triple,MarelleTripleState,OK,171,34,
Mbenga Alignment Game,Mbenga Alignment Game,MbengaAlignmentGameState,OK,8,15,
Millieu,Millieu,MillieuState,OK,3,164,
Minefield,Minefield,MinefieldState,OK,27,49,
Mlabalaba,Mlabalaba,MlabalabaState,OK,200,30,
Morabaraba,Morabaraba,MorabarabaState,OK,67,26,
Moxie,Moxie,MoxieState,OK,26,35,
Mulabalaba,Mulabalaba,MulabalabaState,OK,181,15,
Mylna,Mylna,MylnaState,OK,87,21,
Nao Guti,Nao Guti,NaoGutiState,OK,121,19,
Nerenchi Keliya,Nerenchi Keliya,NerenchiKeliyaState,OK,146,20,
Neutreeko,Neutreeko,NeutreekoState,OK,10,22,
Ngre E E,Ngre E E,NgreEEState,OK,6,21,
Ngrin,Ngrin,NgrinState,OK,7,22,
Nine Holes,Nine Holes,NineHolesState,OK,20,17,
Nine Men's Morris,Nine Men's Morris,NineMenSMorrisState,OK,160,28,
Niranchy,Niranchy,NiranchyState,OK,22,19,
Notakto,Notakto,NotaktoState,OK,105,58,
Nzengue (Small),Nzengue (Small),NzengueSmallState,OK,8,22,
Order and Chaos,Order and Chaos,OrderAndChaosState,OK,32,19,
Pentago,Pentago,PentagoState,OK,74,108,
Pentalath,Pentalath,PentalathState,OK,53,63,
Pente,Pente,PenteState,OK,159,385,
Picaria,Picaria,PicariaState,OK,7,24,
Plotto,Plotto,PlottoState,OK,5,2962,
Pushing Me XO,Pushing Me XO,PushingMeXOState,OK,230,57,
Quarto,Quarto,QuartoState,OK,18,48,
Queen's Four,Queen's Four,QueenSFourState,OK,2500,120,
Quixo,Quixo,QuixoState,OK,132,65,
Ring,Ring,RingState,OK,11,34,
Ringo,Ringo,RingoState,OK,54,2554,
Roll-Ing to Four,Roll-Ing to Four,RollIngToFourState,OK,60,39,
Round Merels,Round Merels,RoundMerelsState,OK,132,25,
Sam K'i,Sam K'i,SamKIState,OK,25,23,
San-Noku-Narabe,San-Noku-Narabe,SanNokuNarabeState,OK,21,15,
Score Four,Score Four,ScoreFourState,OK,38,12,
Selbia,Selbia,SelbiaState,OK,8,21,
Shah,Shah,ShahState,OK,1343,64,
Shisima,Shisima,ShisimaState,OK,8,25,
Shiva,Shiva,ShivaState,OK,2500,77,
Six Insect Game,Six Insect Game,SixInsectGameState,OK,223,43,
Six Men's Morris,Six Men's Morris,SixMenSMorrisState,OK,306,23,
Six-Penny Madell,Six-Penny Madell,SixPennyMadellState,OK,166,28,
Spaniel,Spaniel,SpanielState,OK,14,72,
Sparro,Sparro,SparroState,PLAYOUT_FAIL,14,204,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
Spava,Spava,SpavaState,OK,16,47,
Splade,Splade,SpladeState,OK,17,77,
Splice,Splice,SpliceState,OK,8,83,
Spline+,Spline+,SplineState,OK,56,105,
Spline,Spline,Spline_0000State,OK,24,46,
Spree,Spree,SpreeState,OK,20,85,
Squava,Squava,SquavaState,OK,15,28,
Sujjua,Sujjua,SujjuaState,OK,21,28,
Symbol S.2,Symbol S.2,SymbolS2State,OK,42,18,
T'mbl,T'mbl,TMblState,OK,79,29,
Taktik,Taktik,TaktikState,OK,474,98,
Tant Fant,Tant Fant,TantFantState,OK,47,29,
Tapatan,Tapatan,TapatanState,OK,21,28,
Tauru,Tauru,TauruState,OK,54,46,
Tavan Tal,Tavan Tal,TavanTalState,OK,158,43,
Teeko,Teeko,TeekoState,OK,9,19,
Three Men's Morris,Three Men's Morris,ThreeMenSMorrisState,OK,27,26,
Tic Tactics,Tic Tactics,TicTacticsState,OK,39,47,
Tic-Tac-Chess,Tic-Tac-Chess,TicTacChessState,OK,7,30,
Tic-Tac-Die,Tic-Tac-Die,?,START_FAIL,0,24,NullPointerException: Cannot load from object array because the return value of "other.state.State.currentDice()" is null
Tic-Tac-Four,Tic-Tac-Four,TicTacFourState,OK,29,14,
Tic-Tac-Mo,Tic-Tac-Mo,TicTacMoState,OK,18,23,
Tic-Tac-Toe Misere,Tic-Tac-Toe Misere,TicTacToeMisereState,OK,7,16,
Tic-Tac-Toe,Tic-Tac-Toe,TicTacToeState,OK,9,22,
Traffic Lights,Traffic Lights,TrafficLightsState,OK,10,27,
Trianon,Trianon,TrianonState,OK,9,30,
Triodi (Chios),Triodi (Chios),TriodiChiosState,OK,31,23,
Triodi (Diagonal),Triodi (Diagonal),TriodiDiagonalState,OK,162,28,
Triodi,Triodi,TriodiState,OK,181,21,
Tsoro Yemutatu (Triangle),Tsoro Yemutatu (Triangle),TsoroYemutatuTriangleState,OK,6,24,
Tsoro Yemutatu,Tsoro Yemutatu,TsoroYemutatuState,OK,6,24,
Tsoro Yemutwelve,Tsoro Yemutwelve,TsoroYemutwelveState,OK,253,39,
Tuk Tak,Tuk Tak,TukTakState,OK,39,26,
Tule Paid,Tule Paid,TulePaidState,OK,79,15,
Twelve Men's Morris,Twelve Men's Morris,TwelveMenSMorrisState,OK,142,28,
Ultimate Tic-Tac-Toe,Ultimate Tic-Tac-Toe,UltimateTicTacToeState,OK,64,91,
Unfair,Unfair,UnfairState,OK,90,49,
Vertiges,Vertiges,VertigesState,OK,2500,76,
Wali,Wali,WaliState,OK,119,28,
Wari (Alignment),Wari (Alignment),WariAlignmentState,OK,354,34,
Winkers,Winkers,WinkersState,OK,21,18,
Wure Dune,Wure Dune,WureDuneState,OK,13,21,
Xanan Zirge,Xanan Zirge,XananZirgeState,OK,274,50,
Xonin Shatar (Complex),Xonin Shatar (Complex),XoninShatarComplexState,OK,248,65,
Xonin Shatar (Simple),Xonin Shatar (Simple),XoninShatarSimpleState,OK,208,34,
Yavalade,Yavalade,YavaladeState,OK,37,62,
Yavalanchor,Yavalanchor,YavalanchorState,OK,24,52,
Yavalath,Yavalath,YavalathState,OK,18,42,
Yavalax,Yavalax,YavalaxState,OK,149,117,
Zurgaan Tal,Zurgaan Tal,ZurgaanTalState,OK,195,27,
Archworm,Archworm,ArchwormState,OK,159,85,
Azteka,Azteka,AztekaState,PLAYOUT_FAIL,68,187,ArrayIndexOutOfBoundsException: Index -1 out of bounds for length 10
Diamond,Diamond,DiamondState,OK,171,57,
Hexade,Hexade,HexadeState,OK,81,237,
Kensington,Kensington,KensingtonState,OK,2598,118,
Quantik,Quantik,QuantikState,OK,11,58,
Spyramid,Spyramid,SpyramidState,OK,73,43,
Upper Hand,Upper Hand,UpperHandState,OK,30,145,
Atari Go,Atari Go,AtariGoState,OK,213,331,
Ataxx,Ataxx,AtaxxState,OK,113,40,
BlooGo,BlooGo,BlooGoState,OK,63,89,
Bug,Bug,BugState,PLAYOUT_FAIL,1,308,NullPointerException: Cannot invoke "java.util.Map.keySet()" because the return value of "other.state.State.mapRememberingValues()" is null
Can The Sardines,Can The Sardines,CanTheSardinesState,OK,125,45,
Cavity,Cavity,CavityState,OK,136,116,
Chucka,Chucka,ChuckaState,OK,163,32,
Compart,Compart,CompartState,PLAYOUT_FAIL,0,67,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.toArray()" because the return value of "other.state.State.rememberingValues()" is null
Dorvolz,Dorvolz,DorvolzState,OK,291,160,
Flower Shop,Flower Shop,FlowerShopState,OK,73,543,
Flume,Flume,FlumeState,OK,49,51,
Go,Go,GoState,OK,586,486,
Goats Wintering,Goats Wintering,GoatsWinteringState,OK,8,77,
HexGo,HexGo,HexGoState,OK,224,107,
HexTrike,HexTrike,HexTrikeState,OK,49,101,
Infuse,Infuse,InfuseState,OK,67,120,
Inkblots,Inkblots,InkblotsState,OK,18,173,
Lava,Lava,LavaState,OK,132,48,
Lifeline,Lifeline,LifelineState,OK,142,296,
Lotus,Lotus,LotusState,OK,74,60,
MacBeth,MacBeth,MacBethState,OK,77,82,
Mig Mang,Mig Mang,MigMangState,OK,357,231,
Mity,Mity,MityState,OK,51,132,
One-Eyed Go,One-Eyed Go,OneEyedGoState,OK,492,243,
Paintbucket,Paintbucket,PaintbucketState,OK,10,44,
Paintscape,Paintscape,?,START_FAIL,0,78,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.toArray()" because the return value of "other.state.State.rememberingValues()" is null
Patok,Patok,PatokState,OK,640,463,
Phantom Go,Phantom Go,PhantomGoState,MOVE_LIMIT,5000,97,exceeded 5000 moves
Pula,Pula,PulaState,OK,80,52,
Pyrga,Pyrga,PyrgaState,PLAYOUT_FAIL,0,223,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.toArray()" because the return value of "other.state.State.rememberingValues()" is null
Quathaxx,Quathaxx,QuathaxxState,OK,206,58,
Redstone,Redstone,RedstoneState,OK,267,301,
Refugia,Refugia,RefugiaState,OK,34,107,
Residuel,Residuel,ResiduelState,OK,39,158,
Reversi,Reversi,ReversiState,OK,62,51,
Rolit,Rolit,RolitState,OK,64,49,
Spargo,Spargo,SpargoState,OK,60,240,
Spirit,Spirit,SpiritState,OK,18,47,
Spodd,Spodd,SpoddState,OK,31,101,
Sprite,Sprite,SpriteState,OK,30,105,
Stargazers,Stargazers,StargazersState,PLAYOUT_FAIL,0,4570,NullPointerException: Cannot invoke "java.util.Map.get(Object)" because the return value of "other.state.State.mapRememberingValues()" is null
SupplierSabotage,SupplierSabotage,SupplierSabotageState,OK,40,703,
SupplyChains,SupplyChains,SupplyChainsState,OK,37,260,
Trike,Trike,TrikeState,OK,49,64,
Tumbleweed,Tumbleweed,TumbleweedState,OK,373,442,
Verge,Verge,VergeState,OK,62,61,
Virus,Virus,VirusState,OK,62,37,
Walking Dots,Walking Dots,WalkingDotsState,OK,87,36,
Weiqi,Weiqi,WeiqiState,OK,478,331,
Alea Evangelii,Alea Evangelii,AleaEvangeliiState,OK,262,232,
AlmaTafl,AlmaTafl,AlmaTaflState,OK,202,132,
ArdRi,ArdRi,ArdRiState,OK,218,39,
Awithlaknakwe,Awithlaknakwe,AwithlaknakweState,OK,5000,606,
Bizingo,Bizingo,BizingoState,OK,2500,157,
Boseog Gonu,Boseog Gonu,BoseogGonuState,OK,133,21,
Brandub,Brandub,BrandubState,OK,186,46,
Breakthru,Breakthru,BreakthruState,OK,86,80,
Castello,Castello,CastelloState,OK,2730,277,
El-Mthaltha,El-Mthaltha,ElMthalthaState,OK,43,16,
Gundru,Gundru,GundruState,OK,1243,60,
HeXentafl,HeXentafl,HeXentaflState,OK,140,63,
Hnefatafl,Hnefatafl,HnefataflState,OK,582,91,
Khamousiyya,Khamousiyya,KhamousiyyaState,OK,2531,91,
Kharebga (5x5),Kharebga (5x5),Kharebga5x5State,OK,345,36,
Kharebga (7x7),Kharebga (7x7),Kharebga7x7State,OK,2156,58,
Ludus Latrunculorum,Ludus Latrunculorum,LudusLatrunculorumState,OK,2751,1007,
Maak Yek,Maak Yek,MaakYekState,OK,2500,52,
Poprad Game,Poprad Game,PopradGameState,OK,2644,9185,
Sabou'iyya,Sabou'iyya,SabouIyyaState,OK,584,83,
Seega,Seega,SeegaState,OK,452,29,
Shantarad,Shantarad,ShantaradState,OK,2525,116,
Tablut,Tablut,TablutState,OK,91,51,
Tawlbwrdd,Tawlbwrdd,TawlbwrddState,OK,300,84,
Fanorona,Fanorona,FanoronaState,OK,41,221,
Vela,Vela,VelaState,OK,45,147,
Shobu,Shobu,ShobuState,OK,328,116,
Alquerkonane,Alquerkonane,AlquerkonaneState,OK,14,26,
American Pool Checkers,American Pool Checkers,AmericanPoolCheckersState,PLAYOUT_FAIL,0,99,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Bashni,Bashni,BashniState,OK,48,139,
Brazilian Draughts,Brazilian Draughts,BrazilianDraughtsState,PLAYOUT_FAIL,0,99,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Canadian Draughts,Canadian Draughts,CanadianDraughtsState,PLAYOUT_FAIL,0,124,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Coc-Inbert,Coc-Inbert,CocInbertState,PLAYOUT_FAIL,0,72,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Dam,Dam,DamState,PLAYOUT_FAIL,0,120,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Dama (Italy),Dama (Italy),DamaItalyState,PLAYOUT_FAIL,0,70,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Dama (Philippines),Dama (Philippines),DamaPhilippinesState,OK,159,74,
Damas,Damas,DamasState,OK,69,161,
Damenspiel,Damenspiel,DamenspielState,OK,49,75,
Damspel,Damspel,DamspelState,OK,117,70,
Diagonal Draughts,Diagonal Draughts,DiagonalDraughtsState,PLAYOUT_FAIL,0,114,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Doov,Doov,DoovState,OK,304,59,
Dum Blas,Dum Blas,DumBlasState,PLAYOUT_FAIL,0,102,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
English Draughts,English Draughts,EnglishDraughtsState,PLAYOUT_FAIL,0,68,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Frisian Draughts,Frisian Draughts,FrisianDraughtsState,PLAYOUT_FAIL,0,327,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Guerrilla Checkers,Guerrilla Checkers,GuerrillaCheckersState,OK,136,110,
International Draughts,International Draughts,InternationalDraughtsState,PLAYOUT_FAIL,0,115,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Jekab,Jekab,JekabState,PLAYOUT_FAIL,0,131,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Lasca,Lasca,LascaState,OK,71,120,
Main Dam,Main Dam,MainDamState,PLAYOUT_FAIL,0,86,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Makvoer,Makvoer,MakvoerState,OK,329,54,
Maleys,Maleys,MaleysState,OK,110,200,
Moo,Moo,MooState,PLAYOUT_FAIL,0,94,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.contains(int)" because the return value of "other.state.State.sitesToRemove()" is null
Pleasant Draughts,Pleasant Draughts,PleasantDraughtsState,PLAYOUT_FAIL,0,64,NullPointerException: Cannot invoke "gnu.trove.list.array.TIntArrayList.size()" because "sitesToRemove" is null
Seesaw Draughts,Seesaw Draughts,SeesawDraughtsState,PLAYOUT_FAIL,2,319,NullPointerException: Cannot invoke "main.collections.FastTIntArrayList.toArray()" because the return value of "other.state.State.rememberingValues()" is null
